No;Judul;Penulis;Genre;Sinopsis;URL Sumber;;;;;;
11;Secret Hidden;IsmilaAlias;"Thriller, Horor, Fantasi, Misteri";"Menghadapi keluarga yang berantakan dan terjebak dalam agen rahasia. Tak lupa dengan kisah cinta yang selalu berakhir dengan tangis dan kecewa.

""Berhenti belain dia terus!""

""Dia pacar gue!""

""Sedangkan aku tunangan kamu!""
______

""Lepasin gue aja, dek!""

""Nggak, bang!""

""Lepasin gue atau lo bakal ikutan mati?!""

""Nggak ada yang bakal mati!!""

Kisahnya indentik dengan kegagalan, kehilangan dan kematian, membuat perasaannya menjadi hancur dan mati. Sesuatu yang seharusnya pulih dengan cepat menjadi semakin tenggelam di dasar hatinya yang mendalam.

Ini tentangnya, gadis hampir mati bunuh diri, dan tentang sosok gadis pemberani yang bertransmigrasi menggantikannya sementara. Tentang perjuangan hidup, keadilan, dan balas dendam!

""Natus Vincere In Silentio Veritas!""";https://www.wattpad.com/story/257130688-secret-hidden;;;;;;
12;KERANDA POCONG PART I;MamahRanggi;"Horor, Misteri, Aksi";"Susan gadis yang memiliki indra keenam. Berawal perjalanan Susan tirakat bersama Tantenya di tempat keramat, Susan semakin peka. Pocong yang dilihat Susan di sebelah keranda, terus berlanjut dan selalu jadi firasat akan ada kematian. 

Jiwa Susan berontak, kelebihan yang dimilikinya, justru membuat Susan selalu ketakutan melihat pocong. Pocong yang selalu dilihat, membuat Susan marah dan takut akan melihat kematian seseorang. 

Susan berjalan bersama sahabatnya melihat keranda ditiap tempat yang berbeda. Dan selalu jadi kenyataan, setiap melihat pocong di sebelah keranda, esoknya keranda akan dipakai untuk membawa jenazah.

Susan diincar para dukun, mereka menginginkan Susan bisa bekerja sama, dukun mengetahui Susan bisa meramal atau menerawang. Tapi Susan menolak dan tidak mau dimintai penerawangan oleh siapapun.";"https://www.wattpad.com/story/168991535-keranda-pocong-part-i

";;;;;;
13;Living With My Ex;love alone;"Humor, Romansa";"Sabina terpaksa menyembunyikan kehamilannya dari Sagara, lantaran saat itu Sagara lebih dulu memutuskan hubungan mereka dengan alasan ingin fokus kuliah.

Lima tahun berlalu, takdir mempertemukan mereka kembali. Sabina yang membutuhkan pekerjaan terpaksa melamar di perusahaan milik Ayah Sagara. Sementara itu, Sagara yang baru pulang dari London tak bisa menolak perintah sang Ayah untuk bekerja sebagai karyawan biasa.

Tak hanya berbagi ruangan karena berada di divisi yang sama, Sabina dan Sagara juga terpaksa harus berbagi tempat tinggal karena situasi yang mendesak.

Mampukah mereka bertahan dalam satu atap dengan kondisi dan status yang sudah berbeda?";https://www.wattpad.com/story/400632366-living-with-my-ex;;;;;;
14;"PROBLEMATIC SEAN'S; ""no one can touch me""";nakeyanakelahhh;"Mafia, Romansa, Misteri, Thriller";"Alsera Reymoana, psikolog cantik yg berada di salah satu rumah sakit terkenal di kota New York, menjadi seorang psikolog sekaligus psikiater umum tentunya sedikit sulit untuk Sera karena benar benar harus memahami setiap karakter orang yg datang pergi mengunjungi nya, namun semua itu tidak ada apa apa nya di bandingkan dia harus mengurus seorang lelaki yg katanya anak tersembunyi milik salah satu milyader terkenal di kota New York, kata Alsera lebih baik dia membantu orang gila daripada harus membantu binatang buas seperti Arseano Elaric ini, kira kira apa yg membuat Sera mengatakan seperti itu kepada anak seorang milyarder terkenal ini?";https://www.wattpad.com/story/400257079-problematic-sean%27s-no-one-can-touch-me;;;;;;
15;VIOLET - Kiss The Antagonist!;kandthinkabout;"Thriller, Fantasi, Romansa";"Kecelakaan dan meninggal di tempat membawa jiwa Violet memasuki dunia novel yang pernah dia baca berjudul 'His'. 

Tokoh utama perempuan di novel tersebut adalah Violet. Violet menjadi tokoh Violet, tetapi bukan si tokoh utama perempuan. Melainkan Violet yang lain, yaitu figuran si anak pembantu yang tinggal di rumah keluarga tokoh antagonis laki-laki bernama Felix Arnaud.

Violet memutuskan untuk hidup damai bersama ibunya yang benar-benar mirip dengan ibunya di dunia sebelumnya. Dia tak ingin berurusan dengan para tokoh penting, terutama Felix yang akan membunuh tokoh figuran Violet beberapa tahun kemudian, tetapi sebuah sistem tak adil tiba-tiba muncul dan mengaku sebagai shipper Felix dan Violet si figuran.
";https://www.wattpad.com/story/374280418-violet-kiss-the-antagonist;;;;;;
16;intimacy issues;marklee_mell;Romansa dewasa;"Hanna, seorang gadis yang sangat menyukai paras pria pria tampan ternyata memilih melabuhkan hatinya kepada seorang guru yang mengajar di sekolahannya. Usia mereka memang terpaut jauh namun sialnya di mata Hanna gurunya itu terlihat masih sangat tampan dan juga seksi. 

""Mau punya anak berapa pak? Belasan? Saya jabanin deh."" tak ada rasa malu di wajah Hanna ketika mengatakan itu. Dia terus menatap sang guru dengan senyum andalannya. 

Kernyitan heran langsung tercetak jelas di wajah pria dewasa tersebut. ""Kamu kuat?""

Hanna mengangguk tanpa ragu. ""Kuat!""

""Saya kalau main suka lama. Kamu yakin bisa kuat ngimbangin saya di ranjang?"" bisiknya tepat di wajah Hanna kemudian tersenyum kecil. 

Namun apalah daya. Niat hati ingin terus memperjuangkan sang pujaan hati tapi nyatanya Hanna harus ikut orang tuanya untuk pindah kota. Bisakah Hanna melupakan gurunya yang seksi itu?
";https://www.wattpad.com/story/341020889-intimacy-issues;;;;;;
17;You Made My Day;licoriece vin;"Romansa, Komedi, Fantasi";"Menjadi kaya raya, tinggal di rumah mewah, dan terbebas dari kerjaan kantor? Kirana kira itu cuma impian ..., sampai ia bangun sebagai tokoh kaya antagonis dari novel grafis yang baru saja ia tamatkan.

Jenuh dengan kesehariannya sebagai seorang budak korporat, Kirana selalu mendambakan hidup yang tenang dan santai. Tapi ia tak menyangka keinginannya dikabulkan ... lewat cara yang sangat tidak biasa.

Kini, ia bukan lagi Kirana Ramaniya, melainkan seorang Elara Berlian Mahesvara, wanita cantik, tajir melintir, dan ... sayangnya, calon villain dalam kisah cinta yang penuh drama klise.

Kirana tahu satu hal: ia tidak mau ikut campur.
Konflik? Ia tidak tertarik. Drama percintaan? Tidak, terima kasih.
Kirana hanya ingin menikmati kekayaan Elara tanpa terlibat dalam cerita apa pun.

Namun perlahan, kehadirannya justru menarik perhatian tokoh utama laki-laki yang seharusnya mengejar tokoh utama perempuan.
";https://www.wattpad.com/story/397581583-you-made-my-day;;;;;;
18;Kamuflase;Dinanti;"Aksi, Misteri";"Sari, seorang siswi di sekolah khusus agen intelijen mengemban misi mengungkap dalang narkotika di Jakarta. Dibantu temannya Ganesha, mereka harus berpacu melawan organisasi rahasia dan menerima kenyataan bahwa idealisme mereka tidak selalu sesuai dengan realita di lapangan.

***

Saritem Widyastuti adalah perempuan Indo-Jerman yang terdaftar sebagai siswa di Sekolah Khusus Nusantara. Sebuah sekolah intelijen yang mengajarkan 74 bahasa daerah, kemampuan beternak, ketahanan fisik dikejar anjing, menjinakkan bom di sebuah pasar, serta pelatihan dengan kearifan lokal lainnya. Sari ditugaskan untuk menjalankan misi besutan Badan Narkotika Nasional: mengungkap identitas gembong narkoba di Jakarta. Bersama Ganesha, yang diberikan tugas oleh Kemendikbud untuk menguak pelaku penyebaran kunci jawaban Ujian Nasional, mereka menyamar di sekolah negeri favorit di Jakarta. Di sana, Sari terpaksa belajar bahwa mimpinya membela negara tidak selalu sejalan dengan tugas yang diembankan padanya. Mampukah Sari menyelesaikan misinya?";https://www.wattpad.com/story/65962917-kamuflase;;;;;;
19;Ghost Class;cumacerita96;"Horor, Misteri";"Juwita Liliana, gadis berparas cantik, cerdas, kemampuan aneh yang dia miliki mengharuskan dia homeschooling, namun setelah satu tahun terakhir akhirnya gadis itu kini berani mengambil keputusan kembali bersekolah di tempat umum, tepat kelas dua semester dua di SMA 1 Manggala.

Namun di hari pertama menginjakan kaki di kelas sosok hantu mengerikan menyambut kedatangannya, seakan menunggu setelah sekian lama, kejadian-kejadian menghebohkan di sekolah membuat gadis itu mau tidak mau harus turun untuk mengungkap misteri tentang hantu di kelas.

Mampukah gadis itu mengungkap misteri tentang hantu di kelas yang ternyata adalah _Laila_ sahabat Juwita dari kecil ?";https://www.wattpad.com/story/353302299-ghost-class;;;;;;
20;"Kawin, Yuk!";jingga_senja_;"Humor, Romansa";"Silvia, wanita yang harus rela ditinggal nikah oleh kekasih bersama adiknya, membuatnya harus kembali memupuskan impian pernikahan diusia 27 dan selalu dikatai perawan tua oleh para Tantenya.

Sampai akhirnya ia terpaksa kabur ke kampung halaman sang Nenek, karena rencana perjodohan yang menurutnya sangat gila dan tidak tercatat dalam kamus hidupnya. Pertemuannya dengan pria bernama Aryandhanu sang juragan kambing, membawa perubahan besar dalam hidupnya.

Bisakah Silvia melepas sematan Perawan Tua setelah bertemunya dengan Yayan";https://www.wattpad.com/story/316534631-kawin-yuk-tamat;;;;;;
21; Let Me Be Villain | #1;nona villain;"Romansa, Thriller, Komedi";"Shana benci karakter kesukaannya mendapat akhir yang tidak bahagia setelah semua penderitaan yang dialami. Sebaliknya, tokoh utama perempuan yang merupakan orang ketiga malah berakhir indah. 

Adalah sebuah keajaiban, karena kemudian Shana malah memasuki tubuh karakter kesukaannya tersebut, Shana Christy Arora. Inilah kesempatannya. Dia pun bertekad untuk menjadi villain dalam kehidupan sang protagonis perempuan. 

Dia memiliki dua misi. Pertama, menghancurkan hidup Zara Adeline. Lalu yang kedua, merebut kembali Dyler Sky.

Tapi, lebih daripada semua itu, misi sebenarnya Shana adalah ... memberikan kebahagiaan untuk Shana Christy Arora.";https://www.wattpad.com/story/394081224-let-me-be-villain-1-end;;;;;;
22;Morning Glory;KonvoiHalazia28;"Fantasi, Komedi, Waktu";"Menjadi anak dari antagonis wanita? 

Lamia Farida, seorang gadis yang mengulang kembali kehidupannya namun didalam raga yang berbeda.

Dia kembali terlahir sebagai Serenity, seingat Lamia Serenity itu merupakan anak dari Antagonis Novel yang pernah Lamia baca yaitu Selene.

Apa yang Lamia lakukan didalam tubuh Serenity? 

Tentu saja dia akan merubah takdir hidup sang ibu yaitu Selene! Selene diceritakan memiliki hidup yang tragis di akhir hayatnya dan ia yang merupakan anak dari wanita itu tentu terkena impas nya!";https://www.wattpad.com/story/372205412-morning-glory;;;;;;
23;Trapped in a Psycopathic Novel;Soulmate111;"Romansa, Fantasi";"Lunaria dalam bahasa bunga memiliki arti kejujuran, ketulusan, dan juga kemakmuran. Seperti arti namanya, ia menjalani hidupnya penuh ketulusan hingga akhirnya bisa hidup dalam keadaan damai dan tenang. Meski orang-orang yang melihatnya mungkin menganggap kehidupan Luna membosankan dengan aktivitas berulang, tapi Luna menganggapnya sebaliknya. 

Saking damainya hidupnya sekarang, Luna tak berniat untuk menikah atau memiliki keturunan. Ia ingin hidup sendirian dalam waktu yang lama. Kesendirian adalah temannya. 

Setiap pulang bekerja ia akan bersenang-senang dengan teman-temannya atau langsung istirahat dan di hari minggu ia akan quality time dengan dirinya sendiri sembari membaca Novel atau menonton film. 

Yah, hidup Luna sangat damai hingga suatu malam dengan sekejap hidupnya berubah 180 derajat. Ia tiba-tiba memiliki suami dan seorang putra berusia sembilan tahun. 

Luna berusaha mencerna semuanya hingga ia sadar, ia terjebak didalam sebuah novel yang pernah ia baca beberapa minggu yang lalu. Ia terjebak menjadi salah satu tokoh yang memiliki nama yang sama dengannya, Lunaria. Salah satu tokoh sampingan antagonis yang mati di cerita karena dibunuh anak kandungnya sendiri. 

Luna berusaha untuk mencegah kematiannya dengan merubah alur Novel. Namun karena hubungan keluarga tokoh Novel yang amat sangat buruk dan tak sesuai idealisnya, ia akhirnya memilih cara lain, jika ia tidak bisa kembali ke kehidupannya yang semula ia akan kabur dari kediaman ini. 

Tapi semuanya sia-sia dan tidak sesuai rencana. 

""Jangan buat masalah lagi atau aku benar-benar akan memotong tendon kakimu kali ini."" ancam suaminya dingin. 

Luna takut. Apa psikopat gila itu akan benar-benar membuatnya lumpuh?

""Apa kamu meracuni makanan ini?"" tanya anak laki-laki itu dengan tatapan penuh kecurigaan. ""Aku tidak butuh!"" ucapnya yang kemudian membanting piring didepannya kasar. 

Sudah cukup. Ia tidak bisa bertahan lagi menghadapi kegilaan pasangan ayah dan anak itu!
";https://www.wattpad.com/story/361420390-trapped-in-a-psycopathic-novel;;;;;;
24;I'm Not Just a Figuran;izza B;"Romansa, Fantasi";"Citra Angraini adalah seorang gadis remaja yang akhirnya meregang nyawa di usia muda. Sedari kecil Citra sudah harus bolak-balik ke rumah sakit karena penyakit yang dideritanya semenjak lahir, Citra sangat suka membaca, terutama novel.

Namun siapa yang menyangka Citra yang gemar membaca novel berakhir menjadi salah satu tokoh figuran bernama Sherlyn pada sebuah novel yang terakhir kali dia baca sebelum kematiannya di dunia nyata.

Mengetahui tokoh Sherlyn yang akhirnya meninggal pada pertengahan novel berhasil membuat Citra sangat terpukul hingga dia membulatkan tekadnya untuk mengubah nasib Sherlyn melalui perubahan-perubahan kecil yang akan Citra lakukan. 

---><---

""Pada novel Sherlyn menolak pertunangan ini, apa yang akan terjadi jika aku melakukan yang sebaliknya?""

""Aku harus melakukan perubahan agar nasib Sherlyn juga berubah.""

""Yang benar saja, di dunia sana Aku baru saja mati, aku tidak mau mengikuti alur cerita ini dan akhirnya aku akan mati pada pertengahan novel.""

""Siapa yang perduli dengan novel ini, Aku sudah pernah mati sekali dan aku lebih menyayangi hidupku dari apapun.""

""Sesekali menjadi egois tidaklah terlalu buruk bukan. Maaf Davin aku akan memanfaatkanmu sekali ini aja.""
.
.
""Sherlyn ikut gimana baiknya aja."" Setelah terdiam selama beberapa saat Sherlyn akhirnya menyetujui usulan pertunangan tersebut. ";https://www.wattpad.com/story/388243810-i%27m-not-just-a-figuran;;;;;;
25;triplet;Ellyzaa18;"Aksi, Komedi";"tentang seorang pemuda yang terpisah dari keluarga besarnya, kembar kedua dari 3 bersaudara kembar, wajah yang tampan dan menawan. Terlahir dengan mata yang unik, kulit yang putih seperti kertas, dan rambut yang putih. Anugerah bagi kedua keluarganya, tapi sayangnya.

ada suatu bencana yang membuat keluarga Levanio dan Alexander kehilangan anak/keponakan/cucu mereka. Hal itu tentu membuat pukulan yang besar bagi orangtua pemuda itu, atau dinamai oleh orangtuanya Mervin Arlend Levanio. 

kedua keluarga besar itu sudah melakukan pencarian, tapi tiada hasil yang memuaskan, bahkan selalu kehilangan jejak terakhir, walau begitu tetap saja dicari hingga sekarang.


•

Mervin hidup di panti asuhan dari umurnya 3 tahun, dia membesar dengan kasih sayang dari ibu panti yang menjaga nya dengan baik, diberi teman yang baik dan penyayang. Dia tinggal di apartemen tingkat 4, bersama kedua sahabatnya. Anak yang pekerja keras dan pantang menyerah. 

tapi dia juga ada sisi yang tidak diketahui oleh orang sekitar nya, dia itu bisa berubah jadi seseorang yang kejam apabila orang yang di sayangnya di ganggu. Apalagi melebihi batas toleransi dirinya.";https://www.wattpad.com/story/400744422-triplet;;;;;;
26;Pembalasan Sang Figuran;BearBee94;"Horor, Romansa, Thriller";"Alma setelah kematiannya mengetahui bahwa sebenarnya dia hanyalah salah satu karakter sampingan di novel yang semua takdir kehidupannya sudah di tentukan oleh penulis.

Penderita yang telah dia lalui sebenarnya tidak lain dan tidak bukan hanyalah kata-kata yang tertulis untuk mempromosikan plot tentang protagonis wanita di novel.

Dia marah, dan kecewa tidak menerima semua takdir itu, dia ingin membalas rasa sakit yang dia terima dari orang-orang yang telah menyakitinya.

Dan kesempatan itu muncul, dia di hidupkan kembali , hari di mana semua penderitaannya belum terjadi.

Dan dia bersumpah akan membalas setiap inci perbuatan mereka padanya menghancurkan mereka secara perlahan.

Alma ingin mereka membayarnya dengan lunas.";https://www.wattpad.com/story/399389379-pembalasan-sang-figuran-end;;;;;;
27;Violathan: The Male Lead Doesn't Know I'm Pregnant with His baby;Astrie Anggita;"Romansa, Fantasi, Humor";"Gimana rasanya hamil anak tokoh utama pria di buku novel, padahal kamu sendiri bukan tokoh utama wanitanya?

Viola tentu tidak pernah menduga dirinya akan terjebak dalam skenario konyol itu. Malam yang seharusnya membuat hidupnya hancur ia rapikan dengan teliti. Tidak ada jejak, tidak ada bukti. Sang tokoh utama pria, Ethan, bahkan mengira semua itu hanyalah mimpi.

Namun ada satu hal yang tak bisa ia hapus: bayi yang kini tumbuh dalam perutnya. Viola bertekad menjadi single mother. Jauh dari skenario yang memaksanya menjadi tokoh wanita kedua bernasib tragis. 

Tapi ketika takdir menyeretnya kembali ke sisi Ethan, semuanya berubah. Ethan melihat Viola bukan sebagai beban, melainkan asisten paling profesional yang pernah dimilikinya. Dan ketika ia tahu Viola hamil, keputusannya bulat. 

""Kalau begitu, kita menikah. Anak itu... akan kuanggap anakku.""

Masalahnya, Ethan sama sekali tidak tahu. 
Anak itu memang benar-benar darah dagingnya.";https://www.wattpad.com/story/400208425-tamat-violathan-the-male-lead-doesn%27t-know-i%27m;;;;;;
28;UNTIL HE FOUND ME;cykablyat;"Romansa, Thriller, Fantasi, Mafia";"Malam sebelum Halloween, Aerith melangkah masuk ke taman hiburan yang telah lama ditinggalkan. Sebuah tempat yang kini menjadi panggung bagi permainan paling kejam yang hanya diketahui segelintir orang. Permainan itu disebut The Hunt, digelar setahun sekali oleh kelompok elite yang tak pernah memperlihatkan wajah mereka, menyewa tempat ini hanya untuk satu hal: perburuan.

Dua puluh perempuan dipilih sebagai ""kelinci""-umpan hidup yang harus bertahan di tengah kegelapan dan bayang-bayang. Mereka diberi waktu dari pukul sepuluh malam hingga tengah malam untuk bersembunyi. Seratus pria bertopeng akan dilepas, pemburu-pemburu haus adrenalin dan obsesi. Setiap pemburu hanya boleh mengklaim satu mangsa... dan saat sudah diklaim, kelinci itu menjadi miliknya sepenuhnya. Tak ada kamera. Tak ada aturan. Tak ada belas kasihan. Satu-satunya hukum malam ini adalah bertahan hidup.";https://www.wattpad.com/story/392977195-until-he-found-me-terbit;;;;;;
